
{'data': '137.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '138.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '138.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '139.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '139.79s: YELLOW - (-1.0, -2.0)m/s2', 'type': 'chat_data'}
{'data': '140.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '141.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '141.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '142.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '142.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '143.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '144.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '144.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '145.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '145.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '146.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '147.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '147.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '148.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '148.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '149.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '150.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '150.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '151.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '151.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '152.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '153.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '153.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '154.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '154.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '155.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '156.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '156.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '157.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '157.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '158.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '159.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '159.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '160.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '160.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '161.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '162.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '162.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '163.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '163.79s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '164.40s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '165.0s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '165.59s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
{'data': '166.19s: GREEN - (0.0, -1.0)m/s2', 'type': 'chat_data'}
